uid,city,state,age_range_id,latitude,longitude,si_rank,se_rank,cs_rank,rt_rank,overall_rank
31,Srinagar,Jammu and Kashmir,2,30.2167,78.7833,41.2312,68.8433,22.6702,74.5712,51.829
32,Aurangabad,Maharashtra,2,26.596,79.9701,77.6714,35.902,78.8263,65.1655,64.3913
33,Dhanbad,Jharkhand,2,23.8,86.45,50.7848,82.2177,55.9572,58.7895,61.9373
34,Amritsar,Punjab,2,31.6331,74.8656,56.9023,59.7835,34.7702,56.8756,52.0829
35,Navi Mumbai,Maharashtra,1,19.033,73.0297,27.1782,82.785,47.2389,26.211,45.8533
36,Allahabad,Uttar Pradesh,2,25.45,81.85,77.0804,73.0009,39.708,64.9039,63.6733
37,Ranchi,Jharkhand,1,23.35,85.3333,80.6386,31.4726,50.3084,28.0832,47.6257
38,Howrah,West Bengal,2,22.5892,88.3103,34.3024,79.2362,53.6914,61.0508,57.0702
39,Coimbatore,Tamil Nadu,0,10.9925,76.9614,13.2156,7.573,65.9543,33.3831,30.0315
40,Jabalpur,Madhya Pradesh,0,23.1667,79.95,20.9592,72.7053,20.8141,44.5786,39.7643
41,Gwalior,Madhya Pradesh,2,26.2236,78.1792,54.4685,59.7201,81.5473,69.3046,66.2601
42,Vijayawada,Andhra Pradesh,2,16.5167,80.6167,80.9681,43.3794,86.6966,52.8605,65.9762
43,Jodhpur,Rajasthan,2,26.2867,73.03,79.5688,30.621,77.0042,52.346,59.885
44,Madurai,Tamil Nadu,2,9.9333,78.1167,86.0108,83.2815,40.5119,35.5327,61.3342
45,Raipur,Chhattisgarh,2,30.3167,78.1,41.291,89.6969,24.3751,69.1367,56.1249
46,Kota,Rajasthan,1,29.8253,78.6714,29.3586,20.9324,81.6131,55.0926,46.7492
47,Guwahati,Assam,2,26.1833,91.7333,54.3385,59.5827,75.0157,79.0704,67.0018
48,Chandigarh,Chandigarh,3,30.7343,76.7933,52.4915,87.4041,59.834,89.9099,72.4099
49,Solapur,Maharashtra,2,17.6833,75.9167,51.3417,57.2808,42.1323,61.6711,53.1065
50,Hubballi-Dharwad,Karnataka,1,15.3647,75.124,46.2812,68.5054,41.5501,32.1936,47.1326
51,Bareilly,Uttar Pradesh,2,28.35,79.4167,85.1528,62.0484,59.2203,30.3956,59.2043
52,Srinagar,Jammu and Kashmir,3,28.8333,78.7833,74.8518,37.8183,89.2158,88.1388,72.5062
53,Mysore,Karnataka,2,12.3072,76.6497,65.8187,61.7409,81.9477,29.9523,59.8649
54,Gurgaon,Haryana,2,27.6928,79.6766,33.633,78.3938,50.2793,63.7511,56.5143
55,Aligarh,Uttar Pradesh,0,27.8833,78.0833,45.941,5.9428,19.289,69.2066,35.0948
56,Jalandhar,Punjab,1,23.9,78.4333,58.6329,79.2793,25.9053,25.4842,47.3254
57,Tiruchirappalli,Tamil Nadu,2,10.805,78.6856,55.9056,64.2029,24.1197,69.5639,53.448
58,Bhubaneswar,Orissa,1,20.2333,85.8333,27.228,69.9774,53.0753,30.6875,45.242
59,Salem,Tamil Nadu,2,15.7,73.9167,65.7109,20.443,52.8284,81.6455,55.1569
60,Mira-Bhayandar,Maharashtra,2,19.2952,72.8544,57.7603,29.6164,52.4469,60.7801,50.1509
61,Warangal,Telangana,1,18.0,79.5833,22.1009,41.5637,53.0415,48.8727,41.3947
62,Thiruvananthapuram,Kerala,1,8.5069,76.9569,43.438,48.5662,53.55,50.8833,49.1094
63,Guntur,Andhra Pradesh,2,16.3,80.45,63.2703,67.2501,40.9524,75.9759,61.8622
64,Bhiwandi,Maharashtra,0,19.3,73.0667,52.7264,3.1622,15.6219,16.0297,21.885
65,Saharanpur,Uttar Pradesh,0,29.9667,77.55,17.6163,59.1193,40.4802,23.753,35.2422
66,Gorakhpur,Uttar Pradesh,1,26.755,83.3739,39.6835,30.5111,28.9194,68.7384,41.9631
67,Bikaner,Rajasthan,2,28.0167,73.3,36.4632,41.3964,84.165,48.9606,52.7463
68,Amravati,Maharashtra,1,20.9333,77.75,58.0458,52.0711,36.5952,37.9162,46.1571
69,Noida,Uttar Pradesh,2,28.5726,77.3548,71.878,41.3155,70.1517,55.9293,59.8186
70,Jamshedpur,Jharkhand,2,22.8,86.1833,49.2696,53.3186,34.1502,71.295,52.0083
71,Bhilai,Chhattisgarh,2,21.2167,81.4333,36.8182,53.4693,88.9706,86.7221,66.495
72,Bhubaneswar,Orissa,3,20.5,85.8333,42.0007,71.5102,88.1699,78.8534,70.1335
73,Firozabad,Uttar Pradesh,0,27.15,78.4167,13.4383,10.9153,34.1756,6.8594,16.3472
74,Kochi,Kerala,2,9.9667,76.2333,29.4288,63.8975,29.5148,85.6379,52.1197
75,Bhavnagar,Gujarat,3,21.7667,72.15,26.7956,82.6978,85.7806,85.178,70.113
76,Dehradun,Uttarakhand,0,30.3256,78.0437,29.148,0.974,19.1357,13.5881,15.7114
77,Durgapur,West Bengal,2,24.75,87.7333,55.9748,86.5698,60.9086,20.2815,55.9337
78,Asansol,West Bengal,2,24.2333,87.2833,40.9001,67.9178,86.3831,48.5001,60.9253
79,Nanded,Maharashtra,2,19.15,77.3333,71.4816,75.2086,35.5282,64.8765,61.7738
80,Kolhapur,Maharashtra,1,16.7,74.2167,49.4835,68.9891,63.3632,0.5864,45.6056
81,Ajmer,Rajasthan,0,26.45,74.6333,45.8118,32.5052,36.8119,36.2547,37.8459
82,Gulbarga,Karnataka,0,17.3333,76.8333,44.8282,69.1816,22.5021,4.6277,35.2849
83,Jamnagar,Gujarat,1,22.4667,70.0667,31.9713,2.4266,74.5384,53.135,40.5178
84,Ujjain,Madhya Pradesh,0,23.1833,75.7667,15.6925,12.7805,26.7162,33.7086,22.2245
85,Loni,Uttar Pradesh,3,28.75,77.2833,86.6507,88.4298,82.3802,42.5585,75.0048
86,Siliguri,West Bengal,2,26.7161,88.4236,43.466,37.9388,79.9498,79.8265,60.2953
87,Jhansi,Uttar Pradesh,2,25.4333,78.5833,71.7058,27.7786,45.6445,72.0576,54.2966
88,Ulhasnagar,Maharashtra,2,19.2167,73.15,81.8307,21.989,61.9809,80.016,61.4541
89,Nellore,Andhra Pradesh,2,14.4333,79.9667,45.2772,70.8619,47.7595,46.1703,52.5172
90,Jammu,Jammu and Kashmir,0,32.7333,74.8667,12.6217,35.6048,50.411,53.7547,38.098
91,Sangli-Miraj & Kupwad,Maharashtra,2,16.8604,74.5655,59.8839,33.2312,71.1016,74.0364,59.5633
92,Belgaum,Karnataka,0,15.8667,74.5,11.3759,33.8968,51.7895,51.9003,37.2406
93,Mangalore,Karnataka,1,12.8639,74.8353,36.0299,34.6698,42.2268,79.7369,48.1658
94,Ambattur,Tamil Nadu,3,13.0767,80.0886,76.8222,83.033,52.1039,80.4318,73.0977
95,Meerut,Uttar Pradesh,2,8.7333,77.7,43.5683,81.237,55.6841,45.758,56.5619
96,Malegaon,Maharashtra,2,20.55,74.5333,55.8369,51.3578,57.7062,46.9497,52.9626
97,Gaya,Bihar,2,24.7833,85.0,80.0368,33.9111,29.2556,86.4518,57.4138
98,Jalgaon,Maharashtra,1,21.0486,76.5344,55.2782,41.2088,56.7141,21.7793,43.7451
99,Udaipur,Rajasthan,2,26.6978,79.9216,74.278,36.1181,66.4266,75.8279,63.1626
100,Maheshtala,West Bengal,2,22.5086,88.2532,78.0755,54.379,43.9796,35.9319,53.0915
101,Tirupur,Tamil Nadu,1,11.1,77.35,89.3213,28.2022,33.1396,44.2246,48.7219
102,Davanagere,Karnataka,0,14.4597,75.929,41.2222,26.1044,39.2259,37.9174,36.1175
103,Ujjain,Madhya Pradesh,2,11.25,75.7667,73.0776,27.6707,43.6782,66.9001,52.8316
104,Akola,Maharashtra,0,24.7667,74.2,14.6691,32.2835,37.5692,48.0845,33.1516
105,Kurnool,Andhra Pradesh,1,15.8333,78.05,22.5179,46.8099,61.2332,41.8297,43.0977
106,Rajpur Sonarpur,West Bengal,0,22.4491,88.3915,22.4204,42.0789,43.6363,31.6939,34.9574
107,Bokaro,Jharkhand,1,23.7833,85.9667,31.6087,66.034,54.6041,42.5701,48.7042
108,South Dumdum,West Bengal,0,22.61,88.4,55.1314,19.151,32.9038,1.0178,27.051
109,Bellary,Karnataka,2,15.15,76.9333,58.5645,47.4851,88.6563,56.1349,62.7102
110,Patiala,Punjab,2,30.3267,76.4003,57.7605,80.4606,82.5729,47.7073,67.1253
111,Gopalpur,West Bengal,1,24.8333,87.8,63.1242,55.8661,15.2539,48.93,45.7936
112,Agartala,Tripura,0,23.8364,91.275,57.5168,45.847,48.143,7.0051,39.628
113,Bhagalpur,Bihar,2,26.1697,83.8728,73.8464,64.0854,45.4421,42.1466,56.3801
114,Muzaffarnagar,Uttar Pradesh,2,29.4667,77.6833,47.6092,31.9416,48.5194,88.5035,54.1434
115,Bhatpara,West Bengal,1,22.8714,88.4089,69.9711,39.2572,28.0614,40.0991,44.3472
116,Panihati,West Bengal,0,22.6942,88.3744,33.0358,16.1092,11.0403,67.4576,31.9107
117,Latur,Maharashtra,2,18.4,76.5833,43.9371,31.5193,77.2564,88.192,60.2262
118,Dhule,Maharashtra,3,20.9,74.7833,60.6345,88.2841,79.9885,74.7768,75.921
119,Rohtak,Haryana,3,28.9,76.5667,58.9036,84.7289,83.1018,53.4564,70.0477
120,Korba,Chhattisgarh,1,22.35,82.6833,26.3767,66.1833,46.6984,25.2846,41.1357
121,Ajmer,Rajasthan,2,25.35,74.6333,46.8719,79.5893,44.7654,38.0342,52.3152
122,Brahmapur,Orissa,2,19.3167,84.7833,23.5796,66.1006,89.4298,43.2923,55.6006
123,Muzaffarpur,Bihar,2,26.1167,85.4,56.5337,59.1951,51.2239,44.419,52.8429
124,Ahmednagar,Maharashtra,2,19.0833,74.7333,64.5301,68.5011,68.6257,23.5349,56.2979
125,Muzaffarnagar,Uttar Pradesh,2,27.5,77.6833,46.6877,61.31,53.6524,51.6196,53.3174
126,Kollam,Kerala,0,8.8806,76.5917,54.5106,0.3084,68.0133,25.3451,37.0443
127,Avadi,Tamil Nadu,2,13.1156,80.1017,53.3898,65.0777,48.0088,42.2413,52.1794
128,Rajahmundry,Andhra Pradesh,2,16.9833,81.7833,48.6269,52.1883,43.2303,64.537,52.1456
129,Kadapa,Andhra Pradesh,2,14.4667,78.8167,71.8203,53.5289,25.4088,57.505,52.0658
130,Kamarhati,West Bengal,1,22.6711,88.3747,72.8524,25.1863,48.5063,48.8093,48.8385
131,Bilaspur,Chhattisgarh,3,22.0833,82.15,84.0608,89.1515,56.3374,69.6292,74.7947
132,Shahjahanpur,Uttar Pradesh,0,27.8833,79.9167,32.49,10.1487,53.3274,19.7923,28.9396
133,Bijapur,Karnataka,2,18.8,80.8167,44.1948,82.5838,65.1954,57.828,62.4505
134,Rampur,Uttar Pradesh,2,23.2833,85.4333,51.1944,78.5158,21.8244,78.0688,57.4008
135,Shivamogga (Shimoga),Karnataka,2,13.9299,75.5681,27.0404,61.1969,69.4928,52.4351,52.5413
136,Chandrapur,Maharashtra,2,19.6,83.8833,60.1097,52.585,64.8302,75.8907,63.3539
137,Junagadh,Gujarat,0,21.5167,70.4667,37.2607,60.0051,20.7734,36.2724,38.5779
138,Thrissur,Kerala,1,10.5167,76.2167,36.1504,83.2664,35.8633,20.6179,43.9745
139,Alwar,Rajasthan,2,27.5667,76.6,77.0358,88.9678,58.5514,37.9441,65.6248
140,Bardhaman,West Bengal,0,23.2406,87.8694,51.6456,33.1627,5.8946,36.83,31.8832
141,Jaipur,Rajasthan,2,23.7333,86.85,40.7024,72.359,61.4293,34.4824,52.2433
142,Kakinada,Andhra Pradesh,2,16.9333,82.2167,43.4792,20.1089,86.7869,71.2264,55.4004
143,Nizamabad,Telangana,2,26.0506,83.0589,70.9662,50.6009,82.1511,23.1981,56.7291
144,Parbhani,Maharashtra,2,19.2667,76.7833,32.9524,48.2227,66.7018,72.8274,55.1761
145,Tumkur,Karnataka,2,13.3422,77.1017,35.0711,88.1893,71.3065,58.7742,63.3353
146,Hisar,Haryana,2,29.1667,75.7167,44.7033,79.6308,80.3625,56.492,65.2971
147,Ozhukarai,Puducherry,3,11.9489,79.7121,68.8117,82.9989,44.8278,85.0438,70.4206
148,Bihar Sharif,Bihar,1,25.1833,85.5167,43.1029,30.8091,69.9507,32.6146,44.1193
149,Panipat,Haryana,0,29.3889,76.9681,37.4007,41.1472,24.9602,46.5499,37.5145
150,Darbhanga,Bihar,1,26.1667,85.9,62.2803,68.4354,8.4362,35.9059,43.7645
151,Bally,West Bengal,2,15.1667,74.0333,50.4396,71.8229,46.7056,60.7223,57.4226
152,Aizawl,Mizoram,1,23.7244,92.7175,30.8517,42.653,30.3453,82.4972,46.5868
153,Dewas,Madhya Pradesh,1,22.9667,76.0667,15.702,57.2851,50.5974,47.5469,42.7829
154,Kolhapur,Maharashtra,0,16.7,74.4667,58.7868,18.2267,53.7046,17.9075,37.1564
155,Bareilly,Uttar Pradesh,1,13.65,79.4167,63.9324,27.5829,45.5241,61.3011,49.5851
156,Karnal,Haryana,1,29.6833,76.9833,42.7923,66.2893,21.4428,44.7836,43.827
157,Bathinda,Punjab,2,30.2081,74.9485,85.7855,29.3325,83.0678,27.4021,56.397
158,Jalna,Maharashtra,2,24.0988,79.2137,34.8013,49.3075,83.0274,64.2636,57.85
159,Barasat,West Bengal,0,22.6842,88.4411,67.8423,29.3152,58.5974,1.7631,39.3795
160,Kirari Suleman Nagar,Delhi,2,28.7016,77.0478,78.0258,32.6425,65.578,78.962,63.8021
161,Purnia,Bihar,2,24.5167,87.1333,54.1317,50.527,28.5705,86.5248,54.9385
162,Satna,Madhya Pradesh,2,24.5833,80.8333,55.1052,65.3155,44.6115,37.2539,50.5715
163,Mau,Uttar Pradesh,2,25.9417,83.5611,38.0609,67.0196,82.734,54.5278,60.5856
164,Sonipat,Haryana,3,28.9833,77.0167,72.7397,89.2964,72.8294,59.9407,73.7016
165,Farrukhabad,Uttar Pradesh,1,27.4,79.5667,60.5927,58.6887,42.2532,25.3548,46.7224
166,Sagar,Madhya Pradesh,2,22.0667,82.0,76.1098,68.8935,51.3132,21.4539,54.4426
167,Rourkela,Orissa,0,22.2,84.8833,17.247,1.1125,33.1751,28.3691,19.9759
168,Durg,Chhattisgarh,2,21.1833,81.2833,42.3416,50.4608,67.7926,43.1351,50.9325
169,Imphal,Manipur,2,24.8167,93.95,49.4199,51.68,41.6877,81.4135,56.0503
170,Ratlam,Madhya Pradesh,2,23.3167,75.0667,81.0871,82.0917,25.2119,60.4167,62.2018
171,Hapur,Uttar Pradesh,2,28.7167,77.7833,54.9881,59.0012,73.5037,69.8144,64.3268
172,Anantapur,Andhra Pradesh,2,26.829,79.5342,84.3948,81.2542,58.1365,33.8484,64.4085
173,Arrah,Bihar,1,25.5667,84.6667,34.474,60.1971,37.5784,59.9527,48.0505
174,Karimnagar,Telangana,2,27.7974,79.2581,30.6363,76.4079,80.0409,26.7096,53.4487
175,Etawah,Uttar Pradesh,2,26.7769,79.0239,49.892,88.3388,67.0575,23.9605,57.3122
176,Ambernath,Maharashtra,2,19.2016,73.2005,73.8164,68.4421,73.9983,59.1618,68.8547
177,North Dumdum,West Bengal,1,22.6521,88.4191,62.6823,33.1341,64.6058,27.6333,47.0139
178,Bharatpur,Rajasthan,0,27.1268,79.3921,34.4577,64.7127,19.4279,19.289,34.4718
179,Begusarai,Bihar,0,25.4167,86.1333,64.8702,36.4405,17.5323,8.3857,31.8072
180,New Delhi,Delhi,2,28.6,77.2,63.4671,70.1315,59.8185,32.751,56.542
181,Gandhidham,Gujarat,2,23.0833,70.1333,70.8811,73.29,61.0743,28.4767,58.4305
182,Baranagar,West Bengal,2,22.6433,88.3653,89.8528,60.8051,24.7304,33.9417,52.3325
183,Tiruvottiyur,Tamil Nadu,1,13.1578,80.3042,41.7223,33.7491,73.3179,34.8604,45.9124
184,Puducherry,Puducherry,1,11.93,79.83,63.9846,69.0072,11.1534,30.7565,43.7254
185,Sikar,Rajasthan,2,27.6167,75.15,43.678,67.417,68.7624,87.366,66.8058
186,Thoothukudi,Tamil Nadu,2,8.7833,78.1333,64.0369,64.7391,31.2068,41.4592,50.3605
187,Rewa,Madhya Pradesh,2,27.9161,79.0231,76.278,80.086,22.1214,51.0228,57.3771
188,Mirzapur,Uttar Pradesh,3,25.15,82.5833,66.7248,67.9229,69.3538,86.3179,72.5799
189,Raichur,Karnataka,1,16.2,77.3667,29.208,61.1644,44.877,51.6611,46.7276
190,Pali,Rajasthan,2,29.85,78.5439,86.6046,75.6705,85.1415,21.0539,67.1176
191,Khammam,Telangana,2,17.25,80.15,79.4241,54.5299,54.556,56.3653,61.2188
192,Vizianagaram,Andhra Pradesh,3,18.1167,83.4167,80.1644,87.9725,53.9644,65.3376,71.8597
193,Katihar,Bihar,0,25.5333,87.5833,48.1634,18.6566,46.7959,41.039,38.6638
194,Haridwar,Uttarakhand,2,29.9667,78.1667,53.2013,49.299,55.712,77.3009,58.8783
195,Sri Ganganagar,Rajasthan,2,29.9167,73.8833,41.6961,49.2342,72.3858,66.1865,57.3756
196,Karawal Nagar,Delhi,2,28.7283,77.2769,82.9424,24.98,81.3724,43.0385,58.0833
197,Nagercoil,Tamil Nadu,2,8.1939,77.4314,76.1776,54.1949,47.4734,70.0746,61.9801
198,Mango,Jharkhand,2,13.2253,79.1055,45.7419,40.2316,86.597,55.1237,56.9236
199,Bulandshahr,Uttar Pradesh,2,28.4,77.85,54.6091,40.6842,86.7858,49.435,57.8785
200,Thanjavur,Tamil Nadu,1,10.8,79.15,28.7061,68.8369,63.8661,21.7875,45.7991
201,Sri Ganganagar,Rajasthan,1,29.9167,73.8833,35.3877,48.3229,42.7856,70.1811,49.1693
202,Shahjahanpur,Uttar Pradesh,2,27.8833,79.9167,54.9615,88.2809,28.9992,57.925,57.5417
203,Tirupur,Tamil Nadu,1,11.1,77.35,54.9832,33.1622,47.6678,35.3991,42.8031
204,Chandrapur,Maharashtra,0,19.6,83.8833,68.1635,23.1008,37.2211,27.2983,38.9459
205,Kalyan-Dombivali,Maharashtra,1,19.2354,73.1299,19.6524,69.8006,39.744,39.5872,42.196
206,Guntur,Andhra Pradesh,1,16.3,80.45,39.9569,24.2689,32.3516,76.2784,43.214
207,Kolhapur,Maharashtra,1,16.7,74.4667,20.2909,49.3567,42.0547,73.8878,46.3975
208,Rourkela,Orissa,2,22.2,84.8833,57.3482,63.011,65.092,51.861,59.328
209,Kurnool,Andhra Pradesh,1,15.8333,78.05,33.2526,74.9106,21.5223,60.4251,47.5276
210,Thrissur,Kerala,1,10.5167,76.2167,30.4906,35.872,23.232,78.3005,41.9738
211,Ulhasnagar,Maharashtra,2,19.2167,73.15,25.9881,54.8406,72.792,46.9349,50.1389
212,Avadi,Tamil Nadu,2,13.1156,80.1017,74.534,25.4517,74.1792,62.5687,59.1834
213,Bareilly,Uttar Pradesh,1,13.65,79.4167,33.483,86.0341,34.8326,35.9412,47.5727
214,Bharatpur,Rajasthan,2,27.1268,79.3921,54.2012,86.7831,43.785,28.1932,53.2406
215,Aizawl,Mizoram,2,23.7244,92.7175,51.2816,45.3524,80.4984,69.2024,61.5837
216,Nagpur,Maharashtra,1,23.3,82.6667,73.0476,14.4247,29.9625,51.1899,42.1561
217,Bhubaneswar,Orissa,2,20.2333,85.8333,33.8577,57.2659,85.3247,54.5822,57.7576
218,Purnia,Bihar,2,24.5167,87.1333,88.4302,27.9216,43.724,86.2166,61.5731
219,Imphal,Manipur,1,24.8167,93.95,47.4854,44.812,50.3336,50.424,48.2637
220,Gandhidham,Gujarat,2,23.0833,70.1333,89.226,34.5673,21.4616,58.4661,50.9302
221,Aurangabad,Maharashtra,2,26.596,79.9701,37.6648,70.4365,88.3856,20.2559,54.1857
222,Bhilai,Chhattisgarh,2,21.2167,81.4333,68.0222,55.241,87.3735,29.329,59.9914
223,Mangalore,Karnataka,2,12.8639,74.8353,40.3467,75.2339,82.3056,25.9812,55.9669
224,Jaipur,Rajasthan,0,24.5833,86.85,60.2608,15.2265,20.8448,46.4634,35.6989
225,Allahabad,Uttar Pradesh,0,25.45,81.85,6.968,28.3886,32.8443,43.1389,27.835
226,Amritsar,Punjab,2,31.6331,74.8656,25.6722,37.5058,85.5671,57.086,51.4578
227,Bihar Sharif,Bihar,0,25.1833,85.5167,31.8181,51.2014,7.5259,49.008,34.8884
228,Mumbai,Maharashtra,0,18.975,72.8258,4.1786,21.8904,14.2842,48.9216,22.3187
229,Thiruvananthapuram,Kerala,3,8.5069,76.9569,69.1822,77.7931,70.7456,80.4948,74.5539
230,Vijayawada,Andhra Pradesh,0,16.5167,80.6167,32.5454,43.8881,18.6698,34.85,32.4883
231,Srinagar,Jammu and Kashmir,1,28.8333,78.7833,24.9139,70.3405,58.0863,11.8017,41.2856
232,Nagercoil,Tamil Nadu,2,8.1939,77.4314,21.4769,55.7782,70.2029,62.0699,52.382
233,Kamarhati,West Bengal,1,22.6711,88.3747,63.5916,33.3868,22.584,73.1442,48.1766
234,Ahmedabad,Gujarat,2,23.0333,72.6167,64.5617,44.6288,63.9658,55.347,57.1258
235,Bellary,Karnataka,2,15.15,76.9333,50.1071,60.0694,32.1568,73.9142,54.0619
236,Akola,Maharashtra,0,24.7667,74.2,13.4061,21.0289,52.2449,45.6941,33.0935
237,Kanpur,Uttar Pradesh,2,26.4667,80.35,88.5347,55.2347,34.5606,70.177,62.1268
238,Panihati,West Bengal,0,22.6942,88.3744,47.8157,39.4477,23.7697,30.4192,35.3631
239,Puducherry,Puducherry,2,11.93,79.83,67.686,74.8882,66.4645,23.2047,58.0608
240,Rajkot,Gujarat,1,25.7311,75.5925,57.1767,75.699,30.0506,35.8605,49.6967
241,Amravati,Maharashtra,2,20.9333,77.98,36.2856,35.7878,70.9055,83.1279,56.5267
242,Delhi,Delhi,2,28.6667,77.2167,37.1177,47.9909,36.4748,83.4305,51.2535
243,Mango,Jharkhand,0,13.2253,79.1055,52.0666,67.2816,0.5062,3.6852,30.8849
244,Raipur,Chhattisgarh,1,30.3167,78.1,63.7487,29.6925,23.2016,60.4042,44.2618
245,Guwahati,Assam,2,26.1833,91.7333,54.4598,83.3158,74.3132,30.0898,60.5446
246,Alwar,Rajasthan,2,27.5667,76.6,51.4476,50.9495,52.8295,72.0677,56.8236
247,Nashik,Maharashtra,1,20.011,73.7903,39.0687,74.2667,49.9859,5.4682,42.1974
248,Agartala,Tripura,2,23.8364,91.275,44.2084,59.3674,67.2903,53.3227,56.0472
249,Hyderabad,Telangana,2,17.3753,78.4744,26.999,80.3965,32.1097,69.3429,52.212
250,Chennai,Tamil Nadu,2,13.0833,80.2833,40.8071,72.2837,81.6044,20.0313,53.6816
251,Anantapur,Andhra Pradesh,2,26.829,79.5342,35.3634,62.08,85.631,28.8834,52.9895
252,Satna,Madhya Pradesh,2,24.5833,80.8333,50.7223,55.9634,71.2206,59.3049,59.3028
253,Parbhani,Maharashtra,2,19.2667,76.7833,48.8439,81.7713,64.3741,41.5752,59.1411
254,Kakinada,Andhra Pradesh,2,16.9333,82.2167,66.1424,73.7264,67.468,51.831,64.7919
255,Arrah,Bihar,1,25.5667,84.6667,38.369,66.5103,37.7667,56.0324,49.6696
256,Varanasi,Uttar Pradesh,0,25.3333,83.0,6.4671,11.8504,2.2443,6.0613,6.6558
257,Nanded,Maharashtra,1,19.15,77.3333,59.3584,48.5363,30.1238,61.2683,49.8217
258,Gaya,Bihar,1,24.7833,85.0,51.0271,25.6908,70.5816,35.2268,45.6316
259,Kochi,Kerala,3,9.9667,76.2333,89.2761,89.0466,26.1132,88.4038,73.21
260,Gorakhpur,Uttar Pradesh,1,26.755,83.3739,63.2323,42.1606,55.3281,32.9058,48.4067
261,Kollam,Kerala,2,8.8806,76.5917,72.7803,32.39,68.1642,76.1774,62.378
262,Bilaspur,Chhattisgarh,2,22.0833,82.15,63.6764,43.8337,20.8858,79.6509,52.0117
263,Baranagar,West Bengal,2,22.6433,88.3653,69.7603,75.1389,61.2136,35.737,60.4624
264,Pimpri-Chinchwad,Maharashtra,2,18.6279,73.801,44.7896,87.3674,38.6031,32.8071,50.8918
265,Bally,West Bengal,2,15.1667,74.0333,35.1916,59.4671,86.7144,86.8454,67.0546
266,Muzaffarnagar,Uttar Pradesh,2,27.5,77.6833,40.1261,66.8071,28.9703,73.4069,52.3276
267,Belgaum,Karnataka,0,15.8667,74.5,37.7159,31.2882,30.2373,40.4779,34.9298
268,Sikar,Rajasthan,2,27.6167,75.15,85.4857,26.0231,20.7027,85.5934,54.4512
269,Raichur,Karnataka,2,16.2,77.3667,62.7201,61.9285,54.2827,49.4294,57.0902
